Molecule;Target;ATC;Action;pCHEMBL
cocaine;Serotonin 5-ht1b receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.469544
desipramine;Serotonin 5-ht1b receptor;N06AA01;NA;6.974694
diclofenac;Serotonin 5-ht1b receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dihydroergotamine;Serotonin 5-ht1b receptor;N02CA01;agonist;8.579044
duloxetine;Serotonin 5-ht1b receptor;N06AX21;NA;5.402414
eletriptan;Serotonin 5-ht1b receptor;N02CC06;partial agonist;8.246211
ephedrine;Serotonin 5-ht1b receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;Serotonin 5-ht1b receptor;N02CA02;agonist;8.327902
escitalopram;Serotonin 5-ht1b receptor;N06AB10;NA;5.000000
etoricoxib;Serotonin 5-ht1b receptor;M01AH05;NA;5.000000
fenfluramine;Serotonin 5-ht1b receptor;A08AA02;NA;5.666236
fluphenazine;Serotonin 5-ht1b receptor;N05AB02;NA;6.476254
fluspirilene;Serotonin 5-ht1b receptor;N05AG01;NA;5.950782
frovatriptan;Serotonin 5-ht1b receptor;N02CC07;agonist;7.990000
haloperidol;Serotonin 5-ht1b receptor;N05AD01;antagonist;6.632282
ibuprofen;Serotonin 5-ht1b receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;Serotonin 5-ht1b receptor;N05AX14;NA;7.050025
ketamine;Serotonin 5-ht1b receptor;N01AX03;antagonist;5.000000
ketorolac;Serotonin 5-ht1b receptor;M01AB15. S01BC05;NA;5.000000
loxapine;Serotonin 5-ht1b receptor;N05AH01;NA;6.411168
meloxicam;Serotonin 5-ht1b receptor;M01AC06;NA;5.000000
memantine;Serotonin 5-ht1b receptor;N06DX01;NA;5.000000
mephedrone;Serotonin 5-ht1b receptor;N06BA-h;NA;5.787812
methionine;Serotonin 5-ht1b receptor;V03AB26;NA;5.000000
methylphenidate;Serotonin 5-ht1b receptor;N06BA04;NA;5.000000
methysergide;Serotonin 5-ht1b receptor;N02CA04;antagonist;7.471873
metoprolol;Serotonin 5-ht1b receptor;C07AB02;NA;5.000000
mirtazapine;Serotonin 5-ht1b receptor;N06AX11;NA;5.451733
mitragynine;Serotonin 5-ht1b receptor;N02AX-a;NA;5.000000
naproxen;Serotonin 5-ht1b receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
naratriptan;Serotonin 5-ht1b receptor;N02CC02;partial agonist;8.222943
nimesulide;Serotonin 5-ht1b receptor;M01AX17. M02AA26;NA;5.000000
olanzapine;Serotonin 5-ht1b receptor;N05AH03;antagonist;6.268227
ondansetron;Serotonin 5-ht1b receptor;A04AA01;NA;5.000000
oxymetazoline;Serotonin 5-ht1b receptor;R01AA05. R01AB07. S01GA04;agonist;9.542419
parecoxib;Serotonin 5-ht1b receptor;M01AH04;NA;5.000000
pergolide;Serotonin 5-ht1b receptor;N04BC02;agonist;6.574952
phencyclidine;Serotonin 5-ht1b receptor;N01AX-b;NA;5.000000
pindolol;Serotonin 5-ht1b receptor;C07AA03;NA;5.387216
pipamperone;Serotonin 5-ht1b receptor;N05AD05;antagonist;6.491106
piribedil;Serotonin 5-ht1b receptor;N04BC08;NA;5.000000
piroxicam;Serotonin 5-ht1b receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;Serotonin 5-ht1b receptor;N04BC05;NA;5.264133
propranolol;Serotonin 5-ht1b receptor;C07AA05;NA;6.617696
prucalopride;Serotonin 5-ht1b receptor;A06AX05;NA;5.000000
pseudoephedrine;Serotonin 5-ht1b receptor;R01BA02;NA;5.000000
psylocibine;Serotonin 5-ht1b receptor;N06BA-d;NA;5.000000
quetiapine;Serotonin 5-ht1b receptor;N05AH04;NA;5.820128
reboxetine;Serotonin 5-ht1b receptor;N06AX18;NA;5.000000
risperidone;Serotonin 5-ht1b receptor;N05AX08;antagonist;7.226227
rizatriptan;Serotonin 5-ht1b receptor;N02CC04;partial agonist;7.416423
rofecoxib;Serotonin 5-ht1b receptor;M01AH02;NA;5.000000
ropinirole;Serotonin 5-ht1b receptor;N04BC04;NA;5.000000
serotonin;Serotonin 5-ht1b receptor;N06AB-a;NA;8.426638
sertindole;Serotonin 5-ht1b receptor;N05AE03;antagonist;7.000000
sertindole;Serotonin 5-ht1b receptor;N05AE03;antagonist;7.221849
sumatriptan;Serotonin 5-ht1b receptor;N02CC01;partial agonist;7.939828
talipexole;Serotonin 5-ht1b receptor;N04BX-a;NA;5.000000
thioridazine;Serotonin 5-ht1b receptor;N05AC02;NA;6.962574
tianeptine;Serotonin 5-ht1b receptor;N06AX14;NA;5.000000
tiotixene;Serotonin 5-ht1b receptor;N05AF04;NA;6.821023
trazodone;Serotonin 5-ht1b receptor;N06AX05;NA;5.000000
valdecoxib;Serotonin 5-ht1b receptor;M01AH03;NA;5.000000
venlafaxine;Serotonin 5-ht1b receptor;N06AX16;NA;5.000000
vortioxetine;Serotonin 5-ht1b receptor;N06AX26;partial agonist;7.480000
yohimbine;Serotonin 5-ht1b receptor;G04BE04;antagonist;7.420122
ziprasidone;Serotonin 5-ht1b receptor;N05AE04;partial agonist;8.495629
zolmitriptan;Serotonin 5-ht1b receptor;N02CC03;partial agonist;8.267736
zotepine;Serotonin 5-ht1b receptor;N05AX11;antagonist;7.214361
acetylsalicylic acid;Serotonin 5-ht1d receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;Serotonin 5-ht1d receptor;N05AL05;NA;5.872571
apomorphine;Serotonin 5-ht1d receptor;G04BE07. N04BC07;agonist;5.910000
aripiprazole;Serotonin 5-ht1d receptor;N05AX12;partial agonist;7.192024
asenapine;Serotonin 5-ht1d receptor;N05AH05;agonist;8.400000
atomoxetine;Serotonin 5-ht1d receptor;N06BA09;NA;6.000000
bromocriptine;Serotonin 5-ht1d receptor;N04BC01. G02CB01;partial agonist;7.992489
buspirone;Serotonin 5-ht1d receptor;N05BE01;NA;5.000000
cabergoline;Serotonin 5-ht1d receptor;N04BC06. G02CB03;partial agonist;8.079975
celecoxib;Serotonin 5-ht1d receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;Serotonin 5-ht1d receptor;N05AA01;NA;6.344862
citalopram;Serotonin 5-ht1d receptor;N06AB04;NA;5.000000
clomipramine;Serotonin 5-ht1d receptor;N06AA04;NA;5.000000
clozapine;Serotonin 5-ht1d receptor;N05AH02;partial agonist;6.322013
cocaine;Serotonin 5-ht1d receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyproheptadine;Serotonin 5-ht1d receptor;R06AX02;NA;5.886057
diclofenac;Serotonin 5-ht1d receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dihydroergotamine;Serotonin 5-ht1d receptor;N02CA01;agonist;9.543584
dimethyltryptamine;Serotonin 5-ht1d receptor;N06BA-j;agonist;7.148426
duloxetine;Serotonin 5-ht1d receptor;N06AX21;NA;5.522879
eletriptan;Serotonin 5-ht1d receptor;N02CC06;agonist;8.999444
ephedrine;Serotonin 5-ht1d receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;Serotonin 5-ht1d receptor;N02CA02;agonist;8.831037
etoricoxib;Serotonin 5-ht1d receptor;M01AH05;NA;5.000000
fenfluramine;Serotonin 5-ht1d receptor;A08AA02;NA;5.776968
fluphenazine;Serotonin 5-ht1d receptor;N05AB02;NA;6.476254
fluspirilene;Serotonin 5-ht1d receptor;N05AG01;antagonist;5.639697
frovatriptan;Serotonin 5-ht1d receptor;N02CC07;agonist;8.360000
haloperidol;Serotonin 5-ht1d receptor;N05AD01;antagonist;6.094998
hyperici herba;Serotonin 5-ht1d receptor;N06AX25;NA;5.000000
ibuprofen;Serotonin 5-ht1d receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;Serotonin 5-ht1d receptor;N05AX14;NA;7.823909
ketamine;Serotonin 5-ht1d receptor;N01AX03;antagonist;5.000000
ketorolac;Serotonin 5-ht1d receptor;M01AB15. S01BC05;NA;5.000000
loxapine;Serotonin 5-ht1d receptor;N05AH01;NA;5.459921
lysergic acid diethylamide;Serotonin 5-ht1d receptor;N06BA-i;NA;7.853872
meloxicam;Serotonin 5-ht1d receptor;M01AC06;NA;5.000000
melperone;Serotonin 5-ht1d receptor;N05AD03;NA;5.468521
methionine;Serotonin 5-ht1d receptor;V03AB26;NA;5.000000
methysergide;Serotonin 5-ht1d receptor;N02CA04;antagonist;8.077173
metoclopramide;Serotonin 5-ht1d receptor;A03FA01;NA;5.000000
mianserin;Serotonin 5-ht1d receptor;N06AX03;NA;6.527578
mirtazapine;Serotonin 5-ht1d receptor;N06AX11;NA;6.019997
mitragynine;Serotonin 5-ht1d receptor;N02AX-a;NA;5.287367
naproxen;Serotonin 5-ht1d receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
naratriptan;Serotonin 5-ht1d receptor;N02CC02;agonist;8.749900
nimesulide;Serotonin 5-ht1d receptor;M01AX17. M02AA26;NA;5.000000
olanzapine;Serotonin 5-ht1d receptor;N05AH03;partial agonist;6.241652
ondansetron;Serotonin 5-ht1d receptor;A04AA01;NA;5.000000
oxymetazoline;Serotonin 5-ht1d receptor;R01AA05. R01AB07. S01GA04;partial agonist;9.400000
parecoxib;Serotonin 5-ht1d receptor;M01AH04;NA;5.000000
pergolide;Serotonin 5-ht1d receptor;N04BC02;partial agonist;7.889994
phencyclidine;Serotonin 5-ht1d receptor;N01AX-b;NA;5.000000
pimozide;Serotonin 5-ht1d receptor;N05AG02;NA;5.508638
pindolol;Serotonin 5-ht1d receptor;C07AA03;NA;5.137641
pipamperone;Serotonin 5-ht1d receptor;N05AD05;antagonist;6.489836
piribedil;Serotonin 5-ht1d receptor;N04BC08;NA;5.000000
piroxicam;Serotonin 5-ht1d receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;Serotonin 5-ht1d receptor;N04BC05;NA;5.375872
propranolol;Serotonin 5-ht1d receptor;C07AA05;NA;5.345024
prucalopride;Serotonin 5-ht1d receptor;A06AX05;NA;5.000000
pseudoephedrine;Serotonin 5-ht1d receptor;R01BA02;NA;5.000000
psylocibine;Serotonin 5-ht1d receptor;N06BA-d;NA;5.673869
quetiapine;Serotonin 5-ht1d receptor;N05AH04;agonist;5.595344
reboxetine;Serotonin 5-ht1d receptor;N06AX18;NA;5.000000
risperidone;Serotonin 5-ht1d receptor;N05AX08;antagonist;7.695732
rizatriptan;Serotonin 5-ht1d receptor;N02CC04;agonist;7.755713
rofecoxib;Serotonin 5-ht1d receptor;M01AH02;NA;5.000000
ropinirole;Serotonin 5-ht1d receptor;N04BC04;NA;5.860000
serotonin;Serotonin 5-ht1d receptor;N06AB-a;NA;8.492195
sertindole;Serotonin 5-ht1d receptor;N05AE03;antagonist;7.200000
sertindole;Serotonin 5-ht1d receptor;N05AE03;antagonist;7.350462
sumatriptan;Serotonin 5-ht1d receptor;N02CC01;agonist;8.229100
talipexole;Serotonin 5-ht1d receptor;N04BX-a;NA;5.000000
thioridazine;Serotonin 5-ht1d receptor;N05AC02;NA;6.237321
tianeptine;Serotonin 5-ht1d receptor;N06AX14;NA;5.000000
tiotixene;Serotonin 5-ht1d receptor;N05AF04;NA;6.181115
trazodone;Serotonin 5-ht1d receptor;N06AX05;NA;6.974694
valdecoxib;Serotonin 5-ht1d receptor;M01AH03;NA;5.000000
venlafaxine;Serotonin 5-ht1d receptor;N06AX16;NA;5.000000
yohimbine;Serotonin 5-ht1d receptor;G04BE04;antagonist;7.364753
ziprasidone;Serotonin 5-ht1d receptor;N05AE04;antagonist;8.651249
zolmitriptan;Serotonin 5-ht1d receptor;N02CC03;agonist;8.801254
zotepine;Serotonin 5-ht1d receptor;N05AX11;antagonist;8.077438
amisulpride;Serotonin 5-ht1e receptor;N05AL05;NA;5.000000
aripiprazole;Serotonin 5-ht1e receptor;N05AX12;antagonist;5.096910
asenapine;Serotonin 5-ht1e receptor;N05AH05;agonist;8.000000
celecoxib;Serotonin 5-ht1e receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;Serotonin 5-ht1e receptor;N05AA01;NA;6.463442
clozapine;Serotonin 5-ht1e receptor;N05AH02;partial agonist;6.293251
cocaine;Serotonin 5-ht1e receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
diclofenac;Serotonin 5-ht1e receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dihydroergotamine;Serotonin 5-ht1e receptor;N02CA01;agonist;5.600000
duloxetine;Serotonin 5-ht1e receptor;N06AX21;NA;5.427942
eletriptan;Serotonin 5-ht1e receptor;N02CC06;agonist;7.200000
ephedrine;Serotonin 5-ht1e receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergometrine;Serotonin 5-ht1e receptor;G02AB03;agonist;7.177865
ergotamine;Serotonin 5-ht1e receptor;N02CA02;agonist;6.402535
etoricoxib;Serotonin 5-ht1e receptor;M01AH05;NA;5.000000
fenfluramine;Serotonin 5-ht1e receptor;A08AA02;NA;5.000000
fluphenazine;Serotonin 5-ht1e receptor;N05AB02;NA;6.267606
fluspirilene;Serotonin 5-ht1e receptor;N05AG01;antagonist;5.625788
haloperidol;Serotonin 5-ht1e receptor;N05AD01;NA;5.148315
ibuprofen;Serotonin 5-ht1e receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
ketamine;Serotonin 5-ht1e receptor;N01AX03;antagonist;5.000000
ketorolac;Serotonin 5-ht1e receptor;M01AB15. S01BC05;NA;5.000000
loxapine;Serotonin 5-ht1e receptor;N05AH01;NA;5.854182
meloxicam;Serotonin 5-ht1e receptor;M01AC06;NA;5.000000
memantine;Serotonin 5-ht1e receptor;N06DX01;NA;5.000000
methylergometrine;Serotonin 5-ht1e receptor;G02AB01;antagonist;7.074764
methylphenidate;Serotonin 5-ht1e receptor;N06BA04;NA;5.000000
methysergide;Serotonin 5-ht1e receptor;N02CA04;antagonist;6.679270
mirtazapine;Serotonin 5-ht1e receptor;N06AX11;NA;6.137869
mitragynine;Serotonin 5-ht1e receptor;N02AX-a;NA;5.000000
naproxen;Serotonin 5-ht1e receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
naratriptan;Serotonin 5-ht1e receptor;N02CC02;agonist;7.700000
nimesulide;Serotonin 5-ht1e receptor;M01AX17. M02AA26;NA;5.000000
olanzapine;Serotonin 5-ht1e receptor;N05AH03;partial agonist;5.678679
ondansetron;Serotonin 5-ht1e receptor;A04AA01;NA;5.000000
oxymetazoline;Serotonin 5-ht1e receptor;R01AA05. R01AB07. S01GA04;NA;6.378898
parecoxib;Serotonin 5-ht1e receptor;M01AH04;NA;5.000000
phencyclidine;Serotonin 5-ht1e receptor;N01AX-b;NA;5.000000
pindolol;Serotonin 5-ht1e receptor;C07AA03;NA;5.000000
pipamperone;Serotonin 5-ht1e receptor;N05AD05;NA;5.301030
piroxicam;Serotonin 5-ht1e receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;Serotonin 5-ht1e receptor;N04BC05;NA;5.000000
prucalopride;Serotonin 5-ht1e receptor;A06AX05;NA;5.000000
pseudoephedrine;Serotonin 5-ht1e receptor;R01BA02;NA;5.000000
psylocibine;Serotonin 5-ht1e receptor;N06BA-d;NA;6.710411
quetiapine;Serotonin 5-ht1e receptor;N05AH04;agonist;5.829333
risperidone;Serotonin 5-ht1e receptor;N05AX08;antagonist;5.775058
rizatriptan;Serotonin 5-ht1e receptor;N02CC04;agonist;6.800000
rofecoxib;Serotonin 5-ht1e receptor;M01AH02;NA;5.000000
serotonin;Serotonin 5-ht1e receptor;N06AB-a;NA;8.223539
sertindole;Serotonin 5-ht1e receptor;N05AE03;antagonist;6.400000
sertindole;Serotonin 5-ht1e receptor;N05AE03;antagonist;6.366532
sumatriptan;Serotonin 5-ht1e receptor;N02CC01;agonist;5.662974
thioridazine;Serotonin 5-ht1e receptor;N05AC02;NA;6.712198
tianeptine;Serotonin 5-ht1e receptor;N06AX14;NA;5.000000
tiotixene;Serotonin 5-ht1e receptor;N05AF04;NA;5.000000
trazodone;Serotonin 5-ht1e receptor;N06AX05;NA;5.000000
valdecoxib;Serotonin 5-ht1e receptor;M01AH03;NA;5.000000
venlafaxine;Serotonin 5-ht1e receptor;N06AX16;NA;5.000000
yohimbine;Serotonin 5-ht1e receptor;G04BE04;antagonist;5.899049
ziprasidone;Serotonin 5-ht1e receptor;N05AE04;partial agonist;6.280009
zolmitriptan;Serotonin 5-ht1e receptor;N02CC03;agonist;7.700000
zotepine;Serotonin 5-ht1e receptor;N05AX11;antagonist;6.361071
clozapine;Serotonin 5-ht1f receptor;N05AH02;agonist;6.893025
dihydroergotamine;Serotonin 5-ht1f receptor;N02CA01;agonist;6.845436
duloxetine;Serotonin 5-ht1f receptor;N06AX21;NA;5.351933
eletriptan;Serotonin 5-ht1f receptor;N02CC06;agonist;8.000000
ergotamine;Serotonin 5-ht1f receptor;N02CA02;agonist;6.784235
haloperidol;Serotonin 5-ht1f receptor;N05AD01;NA;5.301030
methylergometrine;Serotonin 5-ht1f receptor;G02AB01;antagonist;7.504669
methysergide;Serotonin 5-ht1f receptor;N02CA04;antagonist;7.826121
mianserin;Serotonin 5-ht1f receptor;N06AX03;NA;7.900319
mirtazapine;Serotonin 5-ht1f receptor;N06AX11;NA;6.234331
naratriptan;Serotonin 5-ht1f receptor;N02CC02;agonist;8.200000
olanzapine;Serotonin 5-ht1f receptor;N05AH03;partial agonist;6.504318
pindolol;Serotonin 5-ht1f receptor;C07AA03;NA;5.000000
pipamperone;Serotonin 5-ht1f receptor;N05AD05;NA;5.301030
prucalopride;Serotonin 5-ht1f receptor;A06AX05;NA;5.000000
quetiapine;Serotonin 5-ht1f receptor;N05AH04;agonist;5.624821
risperidone;Serotonin 5-ht1f receptor;N05AX08;antagonist;5.903288
rizatriptan;Serotonin 5-ht1f receptor;N02CC04;agonist;6.596969
serotonin;Serotonin 5-ht1f receptor;N06AB-a;NA;6.324555
sertindole;Serotonin 5-ht1f receptor;N05AE03;antagonist;6.400000
sertindole;Serotonin 5-ht1f receptor;N05AE03;antagonist;6.443697
sumatriptan;Serotonin 5-ht1f receptor;N02CC01;agonist;7.531933
venlafaxine;Serotonin 5-ht1f receptor;N06AX16;NA;5.000000
yohimbine;Serotonin 5-ht1f receptor;G04BE04;antagonist;7.019028
zolmitriptan;Serotonin 5-ht1f receptor;N02CC03;agonist;7.449832
acetylsalicylic acid;Serotonin 5-ht2a receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
agomelatine;Serotonin 5-ht2a receptor;N06AX22;antagonist;5.374942
amisulpride;Serotonin 5-ht2a receptor;N05AL05;antagonist;5.080713
amitriptyline;Serotonin 5-ht2a receptor;N06AA09;antagonist;7.638272
amoxapine;Serotonin 5-ht2a receptor;N06AA17;antagonist;9.301030
apomorphine;Serotonin 5-ht2a receptor;G04BE07. N04BC07;antagonist;6.760699
aripiprazole;Serotonin 5-ht2a receptor;N05AX12;antagonist;7.839507
asenapine;Serotonin 5-ht2a receptor;N05AH05;antagonist;10.220000
atenolol;Serotonin 5-ht2a receptor;C07AB03;NA;5.000000
atomoxetine;Serotonin 5-ht2a receptor;N06BA09;NA;6.000000
blonanserin;Serotonin 5-ht2a receptor;N05A-2;antagonist;9.090000
brexpiprazole;Serotonin 5-ht2a receptor;N05AX16;antagonist;9.327902
bromocriptine;Serotonin 5-ht2a receptor;N04BC01. G02CB01;partial agonist;6.985138
bromperidol;Serotonin 5-ht2a receptor;N05AD06;NA;7.390000
buspirone;Serotonin 5-ht2a receptor;N05BE01;NA;6.860027
cabergoline;Serotonin 5-ht2a receptor;N04BC06. G02CB03;agonist;8.204998
cariprazine;Serotonin 5-ht2a receptor;N05AX15;antagonist;7.721246
celecoxib;Serotonin 5-ht2a receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;Serotonin 5-ht2a receptor;N05AA01;antagonist;8.355737
chlorprothixene;Serotonin 5-ht2a receptor;N05AF03;antagonist;9.442954
cimetidine;Serotonin 5-ht2a receptor;A02BA01;NA;5.154859
cisapride;Serotonin 5-ht2a receptor;A03FA02;agonist;7.991400
citalopram;Serotonin 5-ht2a receptor;N06AB04;NA;5.094429
clomipramine;Serotonin 5-ht2a receptor;N06AA04;antagonist;7.449772
clonidine;Serotonin 5-ht2a receptor;C02AC01. N02CX02. S01EA04;NA;5.000000
clozapine;Serotonin 5-ht2a receptor;N05AH02;antagonist;8.130988
cyamemazine;Serotonin 5-ht2a receptor;N05AA06;antagonist;8.811946
cyproheptadine;Serotonin 5-ht2a receptor;R06AX02;antagonist;8.449980
dexfenfluramine;Serotonin 5-ht2a receptor;A08AA04;NA;5.512856
diclofenac;Serotonin 5-ht2a receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
diltiazem;Serotonin 5-ht2a receptor;C05AE03. C08DB01;NA;5.619789
dopamine;Serotonin 5-ht2a receptor;C01CA04;NA;5.000000
droperidol;Serotonin 5-ht2a receptor;N05AD08;antagonist;8.855885
duloxetine;Serotonin 5-ht2a receptor;N06AX21;antagonist;6.298784
epinephrine;Serotonin 5-ht2a receptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;NA;5.000000
ergotamine;Serotonin 5-ht2a receptor;N02CA02;partial agonist;9.050581
escitalopram;Serotonin 5-ht2a receptor;N06AB10;NA;5.000000
etoricoxib;Serotonin 5-ht2a receptor;M01AH05;NA;5.000000
flibanserin;Serotonin 5-ht2a receptor;G02CX02;antagonist;7.310000
fluoxetine;Serotonin 5-ht2a receptor;N06AB03;NA;6.719101
flupentixol;Serotonin 5-ht2a receptor;N05AF01;antagonist;7.057992
fluphenazine;Serotonin 5-ht2a receptor;N05AB02;antagonist;7.631062
fluspirilene;Serotonin 5-ht2a receptor;N05AG01;antagonist;8.011130
haloperidol;Serotonin 5-ht2a receptor;N05AD01;antagonist;6.998822
ibuprofen;Serotonin 5-ht2a receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;Serotonin 5-ht2a receptor;N05AX14;antagonist;9.429860
ketamine;Serotonin 5-ht2a receptor;N01AX03;antagonist;5.000000
ketorolac;Serotonin 5-ht2a receptor;M01AB15. S01BC05;NA;5.000000
lorcaserin;Serotonin 5-ht2a receptor;A08AA11;agonist;6.800000
loxapine;Serotonin 5-ht2a receptor;N05AH01;antagonist;8.374406
lurasidone;Serotonin 5-ht2a receptor;N05AE05;antagonist;8.692504
lysergic acid diethylamide;Serotonin 5-ht2a receptor;N06BA-i;NA;8.528841
melatonin;Serotonin 5-ht2a receptor;N05CH01;NA;5.000000
meloxicam;Serotonin 5-ht2a receptor;M01AC06;NA;5.000000
melperone;Serotonin 5-ht2a receptor;N05AD03;NA;6.756314
memantine;Serotonin 5-ht2a receptor;N06DX01;NA;5.000000
mepyramine;Serotonin 5-ht2a receptor;D04AA02. R06AC01;NA;5.699905
mesoridazine;Serotonin 5-ht2a receptor;N05AC03;antagonist;7.691346
methylergometrine;Serotonin 5-ht2a receptor;G02AB01;agonist;9.424967
methysergide;Serotonin 5-ht2a receptor;N02CA04;antagonist;8.224039
mianserin;Serotonin 5-ht2a receptor;N06AX03;antagonist;8.335840
mirtazapine;Serotonin 5-ht2a receptor;N06AX11;antagonist;7.515786
mitragynine;Serotonin 5-ht2a receptor;N02AX-a;NA;5.175538
molindone;Serotonin 5-ht2a receptor;N05AE02;antagonist;5.974018
naproxen;Serotonin 5-ht2a receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nefazodone;Serotonin 5-ht2a receptor;N06AX06;antagonist;8.240000
nefopam;Serotonin 5-ht2a receptor;N02BG06;NA;5.773400
nifedipine;Serotonin 5-ht2a receptor;C08CA05;NA;6.494850
nimesulide;Serotonin 5-ht2a receptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;Serotonin 5-ht2a receptor;C01CA03;NA;5.000000
olanzapine;Serotonin 5-ht2a receptor;N05AH03;antagonist;8.396149
ondansetron;Serotonin 5-ht2a receptor;A04AA01;NA;5.000000
oxymetazoline;Serotonin 5-ht2a receptor;R01AA05. R01AB07. S01GA04;NA;6.590016
paliperidone;Serotonin 5-ht2a receptor;N05AX13;antagonist;8.280000
parecoxib;Serotonin 5-ht2a receptor;M01AH04;NA;5.000000
paroxetine;Serotonin 5-ht2a receptor;N06AB05;NA;5.000000
pergolide;Serotonin 5-ht2a receptor;N04BC02;agonist;8.089994
perphenazine;Serotonin 5-ht2a receptor;N05AB03;antagonist;8.225414
phentolamine;Serotonin 5-ht2a receptor;C04AB01. V03AB36;NA;5.593560
pimavanserin;Serotonin 5-ht2a receptor;N05AX17;antagonist;9.300000
pimozide;Serotonin 5-ht2a receptor;N05AG02;antagonist;7.457170
pindolol;Serotonin 5-ht2a receptor;C07AA03;agonist;5.014978
pipamperone;Serotonin 5-ht2a receptor;N05AD05;antagonist;8.252160
piribedil;Serotonin 5-ht2a receptor;N04BC08;NA;5.000000
piroxicam;Serotonin 5-ht2a receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;Serotonin 5-ht2a receptor;N04BC05;NA;5.000000
prazosin;Serotonin 5-ht2a receptor;C02CA01;NA;6.582996
prochlorperazine;Serotonin 5-ht2a receptor;N05AB04;NA;7.980390
promazine;Serotonin 5-ht2a receptor;N05AA03;antagonist;7.848044
propranolol;Serotonin 5-ht2a receptor;C07AA05;NA;5.398277
prucalopride;Serotonin 5-ht2a receptor;A06AX05;NA;5.000000
psylocibine;Serotonin 5-ht2a receptor;N06BA-d;NA;5.000000
quetiapine;Serotonin 5-ht2a receptor;N05AH04;antagonist;6.764303
reboxetine;Serotonin 5-ht2a receptor;N06AX18;NA;5.000000
remoxipride;Serotonin 5-ht2a receptor;N05AL04;NA;5.248023
risperidone;Serotonin 5-ht2a receptor;N05AX08;antagonist;9.341252
rofecoxib;Serotonin 5-ht2a receptor;M01AH02;NA;5.000000
ropinirole;Serotonin 5-ht2a receptor;N04BC04;NA;5.000000
serotonin;Serotonin 5-ht2a receptor;N06AB-a;NA;6.996771
sertindole;Serotonin 5-ht2a receptor;N05AE03;antagonist;9.299462
sertindole;Serotonin 5-ht2a receptor;N05AE03;antagonist;9.482101
sibutramine;Serotonin 5-ht2a receptor;A08AA10;NA;5.000000
sulpiride;Serotonin 5-ht2a receptor;N05AL01;NA;5.320000
sumatriptan;Serotonin 5-ht2a receptor;N02CC01;NA;5.000000
talipexole;Serotonin 5-ht2a receptor;N04BX-a;NA;5.000000
thioridazine;Serotonin 5-ht2a receptor;N05AC02;antagonist;8.028248
tianeptine;Serotonin 5-ht2a receptor;N06AX14;NA;5.000000
timolol;Serotonin 5-ht2a receptor;C07AA06. S01ED01;NA;5.000000
tiotixene;Serotonin 5-ht2a receptor;N05AF04;antagonist;7.174417
trazodone;Serotonin 5-ht2a receptor;N06AX05;antagonist;7.615334
trifluoperazine;Serotonin 5-ht2a receptor;N05AB06;antagonist;7.830709
valdecoxib;Serotonin 5-ht2a receptor;M01AH03;NA;5.000000
venlafaxine;Serotonin 5-ht2a receptor;N06AX16;NA;5.315870
verapamil;Serotonin 5-ht2a receptor;C08DA01;NA;6.853872
vortioxetine;Serotonin 5-ht2a receptor;N06AX26;antagonist;6.740000
yohimbine;Serotonin 5-ht2a receptor;G04BE04;antagonist;5.557982
ziprasidone;Serotonin 5-ht2a receptor;N05AE04;antagonist;9.387086
zotepine;Serotonin 5-ht2a receptor;N05AX11;antagonist;8.588935
acetylsalicylic acid;Serotonin 5-ht2b receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
